molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL5800906,C=CC(=O)N1CC[C@@H](C(=O)N(C)[C@H](C(=O)N[C@H]2CCC(=O)N(C)Cc3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,897.1309999999995,4.792600000000005,2.0,11.0,5.0
CHEMBL5883184,C=CC(=O)N1CC[C@](F)(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,906.1129999999995,6.355600000000007,2.0,10.0,5.259637310505756
CHEMBL5876410,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC(F)(F)F)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,949.1099999999996,6.2624000000000075,2.0,12.0,5.259637310505756
CHEMBL5851238,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(CF)cc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,920.1399999999994,6.733000000000008,2.0,10.0,5.259637310505756
CHEMBL6009305,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cn3cnc(n3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,879.0759999999995,4.312500000000005,2.0,13.0,5.0
CHEMBL5978340,C=CC(=O)N1CC[C@H](C(=O)N(C)C(C(=O)N[C@H]2C[C@H]3CN(CCO3)c3ccc4c(c3)c(c(-c3cccnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,897.1309999999995,4.649300000000006,2.0,12.0,5.0
CHEMBL5928488,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3CCO3)C1)C(=O)N1CC(Br)C[C@H](N1)C(=O)OCC(C)(C)C2,inactive,1021.0669999999993,6.243200000000006,2.0,11.0,5.0
CHEMBL5989406,CCn1c(-c2cccnc2C(C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C#CC3CCO3)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,inactive,942.1709999999993,5.869800000000007,2.0,11.0,5.0
CHEMBL5873084,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC#N)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,899.1059999999994,5.767180000000006,2.0,11.0,5.259637310505756
CHEMBL5949432,CC#CC(=O)N1CC[C@]2(CCN([C@H](C(=O)N[C@H]3Cc4nc(cs4)-c4ccc5c(c4)c(c(-c4cccnc4[C@H](C)OC)n5CC)CC(C)(C)COC(=O)[C@@H]4CCCN(N4)C3=O)C(C)C)C2=O)C1,inactive,919.1619999999995,5.701400000000006,2.0,12.0,5.0
